,Crazy Sauce,Cheddar Sauce,Extra Cheddar Sauce,Garlic Sauce,Tomato Sauce,Blueberry Sauce,Spicy Sauce,Pink Sauce
cart_size,0.005025454276548718,-0.01584496326511521,0.0933980658716699,0.0262966755225248,-0.09000489006818328,0.031944198666710534,-0.013844667792815242,0.002336385616836139
distinct_products,-0.03495873257552933,0.03699649230502176,0.0014667866332287707,0.0021466254104489154,-0.021897904604234252,-0.027433037625719477,0.013683741498530954,-0.039641785112233714
total_value,0.04716589878435441,-0.07063565505089134,0.06127078456378927,-0.04202548799356791,-0.0800815131009448,0.06169994208222465,0.014046652177634466,-0.004852450248319381
hour,-0.011918714488005239,-0.04754942538816185,0.004203008483931314,0.005949206732733414,-0.038684986967114775,0.023711786911974637,0.021958629030458632,-0.0620912529787752
day_of_week,0.05204821960872179,-0.013621072531413874,0.04017362643177856,-0.01527145519487576,-0.08620413281628043,-0.0534166873661766,-0.009383604641147913,-0.08546408490678797
is_weekend,-0.04014687288946676,0.025188485819417565,0.00702388882384511,-0.02873572757340984,-0.13710163318108637,0.12748204746972175,-0.014304411515269812,0.10251923194571477
has_7Up Lemon Lime 0.33L,0.041189361403202125,-0.00269184809058961,-0.028841802628542156,0.012992848343230752,0.061140131273116044,-0.05130175796301826,0.027869194524984826,0.08356990105591668
has_Aqua Carpatica Minerala 0.5L,0.01951498557818575,0.038196634590865704,0.08512342539919787,0.024182656154136385,0.07737368399813445,0.0551390545955526,-0.03454386278253205,-0.06829879268881806
has_Aqua Carpatica Plata 0.5L,0.014042952117283874,0.028640262135651913,-0.03157553175598415,0.011645263010381969,-0.06317661047828609,0.0643394093539467,0.01448435331870659,-0.003841483114727271
has_Arugula Salad with Cherry Tomatoes and Parmesan,0.014433362844835127,0.026691997051648965,-0.03625807995960479,-0.11091296016082713,-0.13827842492394626,0.009681369905570725,-0.05290574904343341,0.1262708342332086
has_Baked potatoes,0.03667062042731638,-0.02706439729911966,-0.040807829709078196,0.0015761094850050116,0.11641309120029734,-0.01834560065854754,-0.07529423286723692,-0.01294670616129672
has_Blueberry Sauce,-0.032027396669590556,-0.01151031959846627,0.01040547707515539,-0.06249087519851465,-0.04029595355590921,,-0.09595969894193136,0.09394932872631244
has_Breaded Chicken Schnitzel,-0.08924568279832687,-0.047372582965243305,-0.007472280335164589,0.050785332797206165,0.058428453812515914,-0.030456283586115993,-0.022819166504270023,0.03525658496505846
has_Breaded Pork Schnitzel,-0.01976769918272772,-0.017361285601748662,-0.07419123252234266,0.05053379954444698,0.0037332586438960608,0.005792894907535003,0.030753660589814973,0.013000933629124451
has_Cheddar Sauce,0.0007641669589376559,,0.09337543015666494,-0.015356189936654522,-0.014608851896212735,0.11359309638732523,0.04970494530226258,-0.06193410178354033
has_Crazy Fries with Cheddar Sauce,0.02488640314898573,0.0020683428407403735,0.07622146379842562,0.011780316850555929,-0.014941201290825951,-0.06356584193124044,-0.0884412703609678,0.0014419793067484477
has_Crazy Fries with Cheddar Sauce and bacon,-0.09378017739101305,0.051489412606833804,-0.044568066324692665,-0.0009063593374024036,-0.0386000785192267,-0.004822580728090683,-0.011309822878111867,0.0415251721468822
has_Crazy Fries with Parmesan,0.06294544764987614,0.04565130477427014,0.027195513968399566,-0.08053781534499267,0.08844777425378601,-0.015732022468744642,0.0509005077940101,-0.09270403052461718
has_Crazy Pepperoni Schnitzel,0.035991596113629065,-0.000366260789435879,-0.052487854605557216,-0.0014417014853230858,-0.1892923911904639,-0.024771779855724024,-6.36253719390385e-05,-0.007975123962114897
has_Crazy Schnitzel,-0.02983715961770435,-0.025863174615567183,0.03269761525150953,0.036455622501324274,0.020501287008284463,-0.07979787728240142,0.10489184890366766,-0.06413133975109113
has_Crazy peaches,0.0020366663840257065,0.028135511630127574,-0.037477741183396265,0.05587379802040014,-0.07788006552179862,0.027319101154359485,-0.12261463490589358,0.010263046651954863
has_Extra Cheddar Sauce,0.018988662022058855,0.012986678789249292,,-0.03462514482041744,-0.06021536128125692,-0.028579727887727127,-0.08125831655369845,-0.0492429153123227
has_Extra Lamaie,-0.01716037719148732,0.015237374691065536,-0.01909150118914993,0.039113845661850506,-0.06996674819068656,-0.01540174244349327,0.0036169592180363055,-0.05764524296734196
has_Extra bacon,-0.021194446882275522,-0.03140538943455795,0.015409512537760071,-0.011994078814311025,0.02747869931181817,0.020947992316309245,0.057149653044702126,0.03648403940813357
has_Extra jalapeno,-0.024232310183976213,-0.016378115990698428,-0.038969476028480166,-0.022763116960867302,0.0779537392574541,0.02602558182342878,-0.04462376245859877,-0.035419539184460044
has_Extra parmezan,-0.017780218463523317,0.03270853349246337,-0.043884931060439045,0.02877704168609049,-0.1486471475038224,0.04714866721942324,-0.1464198662868814,-0.054536713654531825
has_Garlic Sauce,-0.012657289136915646,0.029893942547920518,-0.03920063411847524,,-0.0474187557318232,-0.026674598195262206,-0.03225373296751772,0.00947934709092989
has_Green Fit Schnitzel,0.015050092019427473,-0.028150565405602793,-0.02475322987688692,-0.006992328403397361,0.07261680715778035,-0.021531464034968233,-0.12630716897227579,-0.06556430792313815
has_Healthy Green Fit Schnitzel,-0.017068977374021826,0.036226284680802856,-0.04929433619218831,-0.05989790222237596,0.015150459137943412,0.07491253389068352,-0.01772119498495587,-0.08370571020569968
has_Healthy Red Fit Schnitzel,0.009622393713471275,-0.027638437575642334,0.048922605550630424,0.06851654713659758,0.01966572148938615,0.016886088368426845,0.0061868876088244035,-0.01912552516781709
has_Jalapeno Pizza Schnitzel,-0.021447604795328326,-0.03695809993187701,-0.03593572512030333,0.07167566387612903,-0.10271685585333232,0.018965810586200248,-0.019723429469634294,-0.0904815324141935
has_Lipton Lemon Tea 0.33L,-0.07718217679076832,0.046137486092456596,-0.015517610942910659,-0.10623960902950597,0.042320371457641455,-0.030275819860606012,0.07487858453535216,-0.05294028801151134
has_Mac & Cheese with Crispy Bacon,-0.0295224715030609,0.0023422860892897495,0.02640146420455612,-0.04660916495796327,-0.0014481930125207598,-0.009504165162302508,0.005081682644511433,-0.06549589982730755
has_Mac & Cheese with Jalapeno and Tomato Sauce,0.027875263603935302,-0.07910446400218073,-0.0335683825329947,0.00514737638244046,-0.05680703021927467,0.007505582229815096,-0.00681128575947827,0.03401067705799023
has_Mac & cheease,0.007228654482760737,0.006160943230827026,0.06187095306281284,-0.022697340307904608,0.004449977394108168,-0.0061161612866201245,-0.05186531776268448,-0.011218703956128595
has_Margherita Pizza Schnitzel,-0.02405249892375006,0.005595065753284593,-0.07284229320994268,-0.013117465132811777,-0.056348332509888535,0.09815612065961937,0.03946488753813645,0.051979563300983155
has_Mirinda Orange Can 0.33L,-0.008905217754734487,0.008481498118975514,-0.025710611679704107,0.058064958637824585,-0.089765871362198,-0.16885697202745778,-0.007737736483325028,0.06915173019305593
has_Mountain Dew 0.25L Doze,0.019582993124713212,0.0745944995934152,0.04649637127254562,0.038949039615115734,-0.07054326422850742,0.021599785764295946,0.051278471184857066,0.04175587327406673
has_Packaging,0.02932594712839043,0.034096153378637487,-0.008539840131445563,0.027970901030197202,-0.018887829014325147,-0.1072933350178928,0.02550440390575755,-0.054210896262651236
has_Pepsi Cola 0.25L Doze,0.03815165826796814,0.09472690430731981,-0.0867487847883979,-0.005483494627947372,-0.0056601756361591695,-0.08606976641410274,-0.055280087812561246,-0.011490873977974556
has_Pepsi Cola Can 0.33L,0.028920540993356184,0.11048510015816955,0.07558379303926022,-0.017924206075740717,0.01613072598045408,-0.06221522837589667,0.04505003443474251,0.023581485525594227
has_Pepsi Twist Can 0.33L,0.0232923185766424,-0.0683227276609518,-0.024859568714585875,0.01057983436683002,-0.007532570355721465,-0.0013616810614645034,0.023618148398970636,0.07181426869149744
has_Pepsi Twist Zero Can 0.33L,-0.03778013913221839,-0.10356220712380078,-0.02658517346153215,0.026434528848297802,0.04450261340184017,-0.00417015535338786,0.08217987017263174,0.008284619050698369
has_Pepsi Zero Can 0.33L,-0.04688951700431319,-0.01609352879426911,-0.0409662172949721,0.0598237736697002,-0.06642562106225183,0.037501159391799696,0.04529695727031809,-0.10454071255567292
has_Pink Sauce,0.044185984022461024,-0.007655095088683981,0.06522373990704577,-0.0008055323543861807,-0.062307332937114365,-0.06757965015063126,0.07427309558233038,
has_Prigat Still Orange 0.25L,-0.029882530676854514,0.014481160490052327,-0.016176373075906168,0.012220714907033392,0.09399356509126303,0.0074128941052043745,0.01923131483898113,-0.04822787155952589
has_Prigat Still Peach Apricot 0.25L,-0.038031498425733175,0.009670480755004235,-0.02070051116903478,0.025095631312522973,0.014788478213651899,-0.00043052498361394425,-0.018226941766499763,-0.05938143089245782
has_Red Fit Schnitzel,-0.0465230090731151,0.009375002986844017,-0.023779449312817835,0.10041486914611804,0.0389564393293769,-0.023034296003058084,0.07143906757837899,-0.06745704041358674
has_Snails with walnuts and meringue,0.03062791091154987,-0.015877793459943418,0.12400478123014481,-0.063804509065397,-0.06643811076811018,-0.0014038950354373521,-0.0951212130510807,-0.0541287776904996
has_Spicy Sauce,-0.09138003361448714,-0.03404297556179521,0.00495577343965789,-0.009016601466972656,-0.04284177430961666,-0.015363541154198409,,0.028918915264536993
has_Tagliata Schnitzel,-0.026836854939982537,0.012113678249452873,-0.03731859795494173,0.002599946457844584,-0.013495488904090145,-0.03639192281413331,0.01630222612753291,0.0754718737040524
has_Tomato Sauce,-0.06643353378330187,0.03288950806839105,-0.043045158759054215,0.07730074968107355,,0.049009691556725736,0.013363992185433328,-0.05411766294444741
has_Viennese Schnitzel,-0.03495423238442168,0.027057685445341692,0.006974540897362994,0.02176390607845258,0.08764599527243457,0.056242187512548274,0.15303853141957008,0.017488927180824128
has_Crazy Sauce,,-0.044516552228348806,0.0313296410588013,-0.0880353741051051,-0.003762252647379486,0.02216267145427434,0.08852030796939676,0.06795056290856077
