Algorithm,K,hit_rate,precision,recall,mrr,ndcg,n_samples
Naive Bayes,1,0.15115681233933162,0.15115681233933162,0.15115681233933162,0.2780264822295671,0.15115681233933162,1945
Naive Bayes,3,0.2596401028277635,0.08654670094258783,0.2596401028277635,0.2780264822295671,0.21717876960154506,1945
Naive Bayes,5,0.3526992287917738,0.07053984575835476,0.3526992287917738,0.2780264822295671,0.255882732691578,1945
Naive Bayes,10,0.7768637532133676,0.07768637532133676,0.7768637532133676,0.2780264822295671,0.39047119286089765,1945
k-NN,1,0.04781491002570694,0.04781491002570694,0.04781491002570694,0.19309360590851596,0.04781491002570694,1945
k-NN,3,0.20822622107969152,0.06940874035989718,0.20822622107969152,0.19309360590851596,0.13764676337312,1945
k-NN,5,0.4107969151670951,0.08215938303341902,0.4107969151670951,0.19309360590851596,0.22090113868542857,1945
k-NN,10,0.6704370179948587,0.06704370179948586,0.6704370179948587,0.19309360590851596,0.30365065269139874,1945
Decision Tree,1,0.05089974293059126,0.05089974293059126,0.05089974293059126,0.18948973762598442,0.05089974293059126,1945
Decision Tree,3,0.2154241645244216,0.07180805484147386,0.2154241645244216,0.18948973762598442,0.14150914624311609,1945
Decision Tree,5,0.36349614395886887,0.07269922879177378,0.36349614395886887,0.18948973762598442,0.20210333640088424,1945
Decision Tree,10,0.6652956298200514,0.06652956298200514,0.6652956298200514,0.18948973762598442,0.29914619657834557,1945
AdaBoost,1,0.02622107969151671,0.02622107969151671,0.02622107969151671,0.2096156200269311,0.02622107969151671,1945
AdaBoost,3,0.23444730077120823,0.0781491002570694,0.23444730077120823,0.2096156200269311,0.13989307198310902,1945
AdaBoost,5,0.45141388174807195,0.09028277634961439,0.45141388174807195,0.2096156200269311,0.22898691444844244,1945
AdaBoost,10,0.8493573264781491,0.08493573264781491,0.8493573264781491,0.2096156200269311,0.35708534026633404,1945
Logistic Reg,1,0.09305912596401028,0.09305912596401028,0.09305912596401028,0.2845548210715306,0.09305912596401028,1945
Logistic Reg,3,0.3511568123393316,0.1170522707797772,0.3511568123393316,0.2845548210715306,0.23671555605398784,1945
Logistic Reg,5,0.5352185089974293,0.10704370179948586,0.5352185089974293,0.2845548210715306,0.31240410690586307,1945
Logistic Reg,10,0.8688946015424165,0.08688946015424165,0.8688946015424165,0.2845548210715306,0.4207151524738829,1945
Popularity,1,0.06683804627249357,0.06683804627249357,0.06683804627249357,0.3053900926265965,0.06683804627249357,1945
Popularity,3,0.3969151670951157,0.1323050556983719,0.3969151670951157,0.3053900926265965,0.25940887877158153,1945
Popularity,5,0.680719794344473,0.1361439588688946,0.680719794344473,0.3053900926265965,0.37611666339934213,1945
Popularity,10,0.9012853470437018,0.09012853470437018,0.9012853470437018,0.3053900926265965,0.4468247820813026,1945
Random,1,0.067866323907455,0.067866323907455,0.067866323907455,0.1903258252744114,0.067866323907455,1945
Random,3,0.19434447300771207,0.06478149100257069,0.19434447300771207,0.1903258252744114,0.13985648738523881,1945
Random,5,0.3218508997429306,0.06437017994858611,0.3218508997429306,0.1903258252744114,0.19154851310875845,1945
Random,10,0.642159383033419,0.06421593830334191,0.642159383033419,0.1903258252744114,0.2933387056583143,1945
